article_id,category
188,COVID
189,COVID
190,COVID
191,COVID
192,COVID
193,COVID
194,COVID
195,THE_WAR_IN_UKRAINE
196,MIGRATIONS
197,COVID
198,COVID
199,COVID
200,COVID
201,MIGRATIONS
202,COVID
203,COVID
204,COVID
205,COVID
206,COVID
207,COVID
208,COVID
209,COVID
210,NEWS_OR_OTHER
211,COVID
212,COVID
213,COVID
214,COVID
215,COVID
216,COVID
217,COVID
218,MIGRATIONS
219,COVID
220,COVID
221,COVID
222,COVID
223,COVID
224,COVID
225,FIVE_G
226,CLIMATE_CRISIS
227,COVID
228,COVID
229,COVID
230,COVID
231,COVID
232,COVID
233,COVID
234,FIVE_G
235,FIVE_G
236,THE_WAR_IN_UKRAINE
237,COVID
238,COVID
239,COVID
240,COVID
241,COVID
242,COVID
243,COVID
244,COVID
245,COVID
246,COVID
247,COVID
248,MIGRATIONS
249,COVID
250,COVID
251,COVID
252,COVID
253,COVID
254,COVID
255,COVID
256,COVID
257,COVID
258,COVID
259,COVID
260,COVID
261,MIGRATIONS
262,COVID
263,COVID
264,COVID
265,FIVE_G
266,COVID
267,COVID
268,MIGRATIONS
269,COVID
270,COVID
271,MIGRATIONS
272,COVID
273,COVID
274,COVID
275,COVID
276,COVID
277,COVID
278,COVID
279,COVID
280,COVID
281,COVID
282,COVID
283,COVID
284,COVID
285,COVID
286,COVID
287,COVID
288,COVID
289,COVID
290,COVID
291,MIGRATIONS
292,COVID
293,COVID
294,COVID
295,COVID
296,COVID
297,MIGRATIONS
298,MIGRATIONS
299,COVID
300,MIGRATIONS
301,MIGRATIONS
302,MIGRATIONS
303,MIGRATIONS
304,MIGRATIONS
305,COVID
306,COVID
307,MIGRATIONS
308,MIGRATIONS
309,COVID
310,COVID
311,COVID
312,COVID
313,COVID
314,MIGRATIONS
315,COVID
316,MIGRATIONS
317,MIGRATIONS
318,COVID
319,COVID
320,COVID
321,COVID
322,COVID
323,MIGRATIONS
324,COVID
325,COVID
326,COVID
327,COVID
328,COVID
329,COVID
330,COVID
331,COVID
332,COVID
333,COVID
334,COVID
335,COVID
336,COVID
337,COVID
338,COVID
339,COVID
340,COVID
341,COVID
342,COVID
343,COVID
344,MIGRATIONS
345,FIVE_G
346,COVID
347,MIGRATIONS
348,COVID
349,COVID
350,FIVE_G
351,MIGRATIONS
352,COVID
353,MIGRATIONS
354,COVID
355,COVID
356,COVID
357,COVID
358,COVID
359,COVID
360,COVID
361,CLIMATE_CRISIS
362,FIVE_G
363,COVID
364,MIGRATIONS
365,COVID
366,COVID
367,COVID
368,THE_WAR_IN_UKRAINE
369,MIGRATIONS
370,COVID
371,COVID
372,COVID
373,COVID
374,COVID
375,CLIMATE_CRISIS
376,COVID
377,COVID
378,COVID
379,COVID
380,COVID
381,COVID
382,COVID
383,COVID
384,COVID
385,COVID
386,COVID
387,COVID
388,COVID
389,COVID
390,COVID
391,NEWS_OR_OTHER
392,CLIMATE_CRISIS
393,COVID
394,COVID
395,COVID
396,COVID
397,COVID
398,COVID
399,COVID
400,CLIMATE_CRISIS
401,COVID
402,COVID
403,FIVE_G
404,COVID
405,COVID
406,NEWS_OR_OTHER
407,COVID
408,COVID
409,COVID
410,COVID
411,COVID
412,COVID
413,COVID
414,COVID
415,COVID
416,COVID
417,COVID
418,COVID
419,COVID
420,COVID
421,COVID
422,COVID
423,COVID
424,COVID
425,COVID
426,COVID
427,COVID
428,COVID
429,COVID
430,COVID
431,COVID
432,COVID
433,COVID
434,COVID
435,COVID
436,COVID
437,MIGRATIONS
438,COVID
439,COVID
440,MIGRATIONS
441,CLIMATE_CRISIS
442,MIGRATIONS
443,FIVE_G
444,MIGRATIONS
445,COVID
446,COVID
447,MIGRATIONS
448,COVID
449,MIGRATIONS
450,COVID
451,MIGRATIONS
452,COVID
453,COVID
454,MIGRATIONS
455,COVID
456,MIGRATIONS
457,MIGRATIONS
458,COVID
459,COVID
460,MIGRATIONS
461,MIGRATIONS
462,CLIMATE_CRISIS
463,COVID
464,MIGRATIONS
465,MIGRATIONS
466,COVID
467,COVID
468,COVID
469,COVID
470,COVID
471,COVID
472,COVID
473,COVID
474,COVID
475,CLIMATE_CRISIS
476,COVID
477,COVID
478,COVID
479,COVID
480,COVID
481,COVID
482,COVID
483,COVID
484,COVID
485,MIGRATIONS
486,MIGRATIONS
487,MIGRATIONS
488,COVID
489,MIGRATIONS
490,MIGRATIONS
491,COVID
492,COVID
493,MIGRATIONS
494,COVID
495,MIGRATIONS
496,MIGRATIONS
497,CLIMATE_CRISIS
498,MIGRATIONS
499,MIGRATIONS
500,MIGRATIONS
501,MIGRATIONS
502,MIGRATIONS
503,MIGRATIONS
504,MIGRATIONS
505,MIGRATIONS
506,COVID
507,MIGRATIONS
508,COVID
509,COVID
510,COVID
511,COVID
512,FIVE_G
513,COVID
514,COVID
515,COVID
516,COVID
517,COVID
518,COVID
519,COVID
520,COVID
521,COVID
522,COVID
523,COVID
524,COVID
525,COVID
526,COVID
527,COVID
528,FIVE_G
529,COVID
530,COVID
531,COVID
532,COVID
533,COVID
534,COVID
535,COVID
536,COVID
537,COVID
538,COVID
539,COVID
540,COVID
541,CLIMATE_CRISIS
542,FIVE_G
543,COVID
544,COVID
545,COVID
546,COVID
547,COVID
548,COVID
549,COVID
550,COVID
551,COVID
552,COVID
553,COVID
554,COVID
555,COVID
556,COVID
557,COVID
558,COVID
559,COVID
560,COVID
561,COVID
562,COVID
563,COVID
564,COVID
565,COVID
566,COVID
567,COVID
568,COVID
569,COVID
570,COVID
571,COVID
572,COVID
573,COVID
574,COVID
575,COVID
576,COVID
577,COVID
578,COVID
579,COVID
580,COVID
581,COVID
582,COVID
583,COVID
584,COVID
585,COVID
586,COVID
587,COVID
588,COVID
589,FIVE_G
590,COVID
591,COVID
592,COVID
593,COVID
594,COVID
595,COVID
596,COVID
597,COVID
598,COVID
599,COVID
600,COVID
601,COVID
602,COVID
603,COVID
604,COVID
605,THE_WAR_IN_UKRAINE
606,COVID
607,COVID
608,COVID
609,COVID
610,COVID
611,MIGRATIONS
612,COVID
613,COVID
614,COVID
615,COVID
616,COVID
617,COVID
618,COVID
619,COVID
620,COVID
621,COVID
622,COVID
623,COVID
624,COVID
625,COVID
626,COVID
627,COVID
628,COVID
629,COVID
630,COVID
631,COVID
632,FIVE_G
633,COVID
634,COVID
635,COVID
636,COVID
637,MIGRATIONS
638,COVID
639,COVID
640,COVID
641,COVID
642,COVID
643,COVID
644,COVID
645,COVID
646,COVID
647,COVID
648,COVID
649,COVID
650,COVID
651,COVID
652,COVID
653,COVID
654,COVID
655,COVID
656,COVID
657,COVID
658,COVID
659,COVID
660,COVID
661,COVID
662,COVID
663,COVID
664,COVID
665,COVID
666,COVID
667,COVID
668,COVID
669,COVID
670,COVID
671,COVID
672,COVID
673,COVID
674,COVID
675,COVID
676,COVID
677,COVID
678,COVID
679,COVID
680,COVID
681,COVID
682,COVID
683,COVID
684,COVID
685,COVID
686,COVID
687,COVID
688,COVID
689,MIGRATIONS
690,COVID
691,COVID
692,COVID
693,COVID
694,COVID
695,COVID
696,COVID
697,COVID
698,COVID
699,COVID
700,COVID
701,COVID
702,COVID
703,COVID
704,COVID
705,COVID
706,COVID
707,COVID
708,COVID
709,COVID
710,COVID
711,COVID
712,COVID
713,COVID
714,COVID
715,COVID
716,MIGRATIONS
717,COVID
718,COVID
719,COVID
720,COVID
721,COVID
722,COVID
723,COVID
724,COVID
725,COVID
726,COVID
727,COVID
728,COVID
729,COVID
730,CLIMATE_CRISIS
731,FIVE_G
732,COVID
733,COVID
734,COVID
735,THE_WAR_IN_UKRAINE
736,COVID
737,CLIMATE_CRISIS
738,COVID
739,COVID
740,COVID
741,COVID
742,COVID
743,MIGRATIONS
744,COVID
745,COVID
746,COVID
747,COVID
748,COVID
749,COVID
750,COVID
751,COVID
752,COVID
753,COVID
754,COVID
755,COVID
756,COVID
757,COVID
758,COVID
759,COVID
760,COVID
761,COVID
762,COVID
763,MIGRATIONS
764,CLIMATE_CRISIS
765,COVID
766,COVID
767,CLIMATE_CRISIS
768,COVID
769,COVID
770,COVID
771,COVID
772,COVID
773,COVID
774,COVID
775,COVID
776,COVID
777,COVID
778,MIGRATIONS
779,COVID
780,COVID
781,COVID
782,COVID
783,COVID
784,COVID
785,COVID
786,COVID
787,COVID
788,COVID
789,THE_WAR_IN_UKRAINE
790,COVID
791,COVID
792,COVID
793,COVID
794,COVID
795,COVID
796,COVID
797,COVID
798,COVID
799,COVID
800,COVID
801,COVID
802,COVID
803,COVID
804,COVID
805,COVID
806,COVID
807,COVID
808,COVID
809,COVID
810,COVID
811,CLIMATE_CRISIS
812,COVID
813,COVID
814,COVID
815,COVID
816,COVID
817,COVID
818,COVID
819,COVID
820,COVID
821,COVID
822,COVID
823,COVID
824,CLIMATE_CRISIS
825,COVID
826,COVID
827,MIGRATIONS
828,COVID
829,COVID
830,COVID
831,COVID
832,COVID
833,COVID
834,COVID
835,COVID
836,COVID
837,COVID
838,FIVE_G
839,COVID
840,COVID
841,COVID
842,COVID
843,COVID
844,COVID
845,COVID
846,FIVE_G
847,COVID
848,COVID
849,CLIMATE_CRISIS
850,COVID
851,COVID
852,COVID
853,MIGRATIONS
854,COVID
855,CLIMATE_CRISIS
856,COVID
857,COVID
858,COVID
859,COVID
860,COVID
861,COVID
862,COVID
863,COVID
864,COVID
865,COVID
866,CLIMATE_CRISIS
867,COVID
868,COVID
869,COVID
870,COVID
871,COVID
872,COVID
873,COVID
874,COVID
875,MIGRATIONS
876,COVID
877,COVID
878,MIGRATIONS
879,COVID
880,COVID
881,COVID
882,COVID
883,COVID
884,COVID
885,COVID
886,COVID
887,COVID
888,COVID
889,MIGRATIONS
890,COVID
891,COVID
892,COVID
893,MIGRATIONS
894,MIGRATIONS
895,MIGRATIONS
896,MIGRATIONS
897,MIGRATIONS
898,COVID
899,MIGRATIONS
900,MIGRATIONS
901,MIGRATIONS
902,COVID
903,MIGRATIONS
904,MIGRATIONS
905,MIGRATIONS
906,MIGRATIONS
907,MIGRATIONS
908,COVID
909,COVID
910,MIGRATIONS
911,MIGRATIONS
912,MIGRATIONS
913,MIGRATIONS
914,MIGRATIONS
915,MIGRATIONS
916,MIGRATIONS
917,MIGRATIONS
918,MIGRATIONS
919,MIGRATIONS
920,MIGRATIONS
921,MIGRATIONS
922,MIGRATIONS
923,COVID
924,COVID
925,COVID
926,COVID
927,COVID
928,COVID
929,COVID
930,COVID
931,COVID
932,COVID
933,COVID
934,COVID
935,COVID
936,COVID
937,COVID
938,COVID
939,COVID
940,COVID
941,COVID
942,COVID
943,COVID
944,COVID
945,COVID
946,COVID
947,COVID
948,COVID
949,COVID
950,COVID
951,COVID
952,COVID
953,COVID
954,COVID
955,COVID
956,COVID
957,COVID
958,COVID
959,COVID
960,COVID
961,COVID
962,COVID
963,MIGRATIONS
964,CLIMATE_CRISIS
965,MIGRATIONS
966,COVID
967,MIGRATIONS
968,COVID
969,CLIMATE_CRISIS
970,MIGRATIONS
971,COVID
972,COVID
973,COVID
974,MIGRATIONS
975,MIGRATIONS
976,CLIMATE_CRISIS
977,MIGRATIONS
978,COVID
979,COVID
980,CLIMATE_CRISIS
981,COVID
982,NEWS_OR_OTHER
983,COVID
984,WOMENS_RIGHTS
985,COVID
986,COVID
987,COVID
988,MIGRATIONS
989,MIGRATIONS
990,MIGRATIONS
991,MIGRATIONS
992,CLIMATE_CRISIS
993,MIGRATIONS
994,MIGRATIONS
995,MIGRATIONS
996,MIGRATIONS
997,COVID
998,COVID
999,COVID
1000,MIGRATIONS
1001,MIGRATIONS
1002,MIGRATIONS
1003,MIGRATIONS
1004,CLIMATE_CRISIS
1005,WOMENS_RIGHTS
1006,MIGRATIONS
1007,MIGRATIONS
1008,MIGRATIONS
1009,COVID
1010,COVID
1011,COVID
1012,MIGRATIONS
1013,COVID
1014,CLIMATE_CRISIS
1015,COVID
1016,COVID
1017,COVID
1018,COVID
1019,MIGRATIONS
1020,COVID
1021,COVID
1022,COVID
1023,COVID
1024,COVID
1025,COVID
1026,COVID
1027,THE_WAR_IN_UKRAINE
1028,COVID
1029,COVID
1030,COVID
1031,COVID
1032,COVID
1033,COVID
1034,COVID
1035,COVID
1036,COVID
1037,COVID
1038,COVID
1039,MIGRATIONS
1040,CLIMATE_CRISIS
1041,COVID
1042,COVID
1043,MIGRATIONS
1044,COVID
1045,COVID
1046,COVID
1047,COVID
1048,COVID
1049,COVID
1050,COVID
1051,COVID
1052,MIGRATIONS
1053,MIGRATIONS
1054,MIGRATIONS
1055,MIGRATIONS
1056,CLIMATE_CRISIS
1057,COVID
1058,MIGRATIONS
1059,MIGRATIONS
1060,COVID
1061,CLIMATE_CRISIS
1062,CLIMATE_CRISIS
1063,CLIMATE_CRISIS
1064,CLIMATE_CRISIS
1065,COVID
1066,CLIMATE_CRISIS
1067,COVID
1068,COVID
1069,COVID
1070,COVID
1071,COVID
1072,COVID
1073,CLIMATE_CRISIS
1074,CLIMATE_CRISIS
1075,COVID
1076,COVID
1077,COVID
1078,COVID
1079,CLIMATE_CRISIS
1080,CLIMATE_CRISIS
1081,CLIMATE_CRISIS
1082,CLIMATE_CRISIS
1083,COVID
1084,COVID
1085,COVID
1086,CLIMATE_CRISIS
1087,CLIMATE_CRISIS
1088,COVID
1089,CLIMATE_CRISIS
1090,CLIMATE_CRISIS
1091,COVID
1092,CLIMATE_CRISIS
1093,CLIMATE_CRISIS
1094,CLIMATE_CRISIS
1095,COVID
1096,CLIMATE_CRISIS
1097,COVID
1098,COVID
1099,MIGRATIONS
1100,COVID
1101,COVID
1102,COVID
1103,COVID
1104,COVID
1105,COVID
1106,COVID
1107,COVID
1108,COVID
1109,COVID
1110,COVID
1111,COVID
1112,THE_WAR_IN_UKRAINE
1113,COVID
1114,COVID
1115,COVID
1116,COVID
1117,COVID
1118,COVID
1119,MIGRATIONS
1120,COVID
1121,COVID
1122,COVID
1123,COVID
1124,COVID
1125,COVID
1126,COVID
1127,MIGRATIONS
1128,MIGRATIONS
1129,MIGRATIONS
1130,FIVE_G
1131,MIGRATIONS
1132,MIGRATIONS
1133,COVID
1134,MIGRATIONS
1135,MIGRATIONS
1136,MIGRATIONS
1137,COVID
1138,COVID
1139,COVID
1140,COVID
1141,COVID
1142,COVID
1143,COVID
1144,COVID
1145,COVID
1146,COVID
1147,COVID
1148,COVID
1149,COVID
1150,COVID
1151,COVID
1152,COVID
1153,COVID
1154,COVID
1155,COVID
1156,COVID
1157,COVID
1158,COVID
1159,COVID
1160,COVID
1161,MIGRATIONS
1162,COVID
1163,COVID
1164,COVID
1165,COVID
1166,COVID
1167,COVID
1168,MIGRATIONS
1169,COVID
1170,COVID
1171,COVID
1172,COVID
1173,COVID
1174,COVID
1175,COVID
1176,COVID
1177,COVID
1178,COVID
1179,COVID
1180,COVID
1181,COVID
1182,COVID
1183,COVID
1184,COVID
1185,COVID
1186,COVID
1187,COVID
1188,COVID
1189,COVID
1190,COVID
1191,COVID
1192,COVID
1193,COVID
1194,COVID
1195,MIGRATIONS
1196,MIGRATIONS
1197,MIGRATIONS
1198,MIGRATIONS
1199,FIVE_G
1200,MIGRATIONS
1201,MIGRATIONS
1202,MIGRATIONS
1203,MIGRATIONS
1204,MIGRATIONS
1205,MIGRATIONS
1206,COVID
1207,MIGRATIONS
1208,COVID
1209,CLIMATE_CRISIS
1210,CLIMATE_CRISIS
1211,LGBT
1212,CLIMATE_CRISIS
1213,CLIMATE_CRISIS
1214,CLIMATE_CRISIS
1215,MIGRATIONS
1216,COVID
1217,COVID
1218,COVID
1219,COVID
1220,WOMENS_RIGHTS
1221,MIGRATIONS
1222,MIGRATIONS
1223,COVID
1224,NEWS_OR_OTHER
1225,MIGRATIONS
1226,MIGRATIONS
1227,MIGRATIONS
1228,MIGRATIONS
1229,MIGRATIONS
1230,FIVE_G
1231,MIGRATIONS
1232,MIGRATIONS
1233,CLIMATE_CRISIS
1234,MIGRATIONS
1235,MIGRATIONS
1236,MIGRATIONS
1237,NEWS_OR_OTHER
1238,COVID
1239,MIGRATIONS
1240,CLIMATE_CRISIS
1241,FIVE_G
1242,MIGRATIONS
1243,MIGRATIONS
1244,MIGRATIONS
1245,MIGRATIONS
1246,MIGRATIONS
1247,MIGRATIONS
1248,MIGRATIONS
1249,MIGRATIONS
1250,MIGRATIONS
1251,MIGRATIONS
1252,MIGRATIONS
1253,MIGRATIONS
1254,MIGRATIONS
1255,MIGRATIONS
1256,MIGRATIONS
1257,MIGRATIONS
1258,MIGRATIONS
1259,MIGRATIONS
1260,CLIMATE_CRISIS
1261,FIVE_G
1262,MIGRATIONS
1263,MIGRATIONS
1264,MIGRATIONS
1265,MIGRATIONS
1266,MIGRATIONS
1267,CLIMATE_CRISIS
1268,MIGRATIONS
1269,MIGRATIONS
1270,MIGRATIONS
1271,MIGRATIONS
1272,MIGRATIONS
1273,THE_WAR_IN_UKRAINE
1274,MIGRATIONS
1275,MIGRATIONS
1276,MIGRATIONS
1277,THE_WAR_IN_UKRAINE
1278,MIGRATIONS
1279,MIGRATIONS
1280,CLIMATE_CRISIS
1281,MIGRATIONS
1282,MIGRATIONS
1283,MIGRATIONS
1284,MIGRATIONS
1285,MIGRATIONS
1286,MIGRATIONS
1287,MIGRATIONS
1288,MIGRATIONS
1289,MIGRATIONS
1290,MIGRATIONS
1291,MIGRATIONS
1292,MIGRATIONS
1293,MIGRATIONS
1294,MIGRATIONS
1295,CLIMATE_CRISIS
1296,MIGRATIONS
1297,MIGRATIONS
1298,MIGRATIONS
1299,MIGRATIONS
1300,MIGRATIONS
1301,MIGRATIONS
1302,MIGRATIONS
1303,CLIMATE_CRISIS
1304,CLIMATE_CRISIS
1305,COVID
1306,CLIMATE_CRISIS
1307,CLIMATE_CRISIS
1308,MIGRATIONS
1309,CLIMATE_CRISIS
1310,CLIMATE_CRISIS
1311,MIGRATIONS
1312,MIGRATIONS
1313,MIGRATIONS
1314,THE_WAR_IN_UKRAINE
1315,MIGRATIONS
1316,MIGRATIONS
1317,MIGRATIONS
1318,MIGRATIONS
1319,MIGRATIONS
1320,MIGRATIONS
1321,MIGRATIONS
1322,MIGRATIONS
1323,MIGRATIONS
1324,MIGRATIONS
1325,MIGRATIONS
1326,MIGRATIONS
1327,COVID
1328,MIGRATIONS
1329,MIGRATIONS
1330,THE_WAR_IN_UKRAINE
1331,NEWS_OR_OTHER
1332,COVID
1333,COVID
1334,COVID
1335,COVID
1336,COVID
1337,COVID
1338,CLIMATE_CRISIS
1339,THE_WAR_IN_UKRAINE
1340,COVID
1341,COVID
1342,COVID
1343,COVID
1344,COVID
1345,COVID
1346,COVID
1347,COVID
1348,COVID
1349,COVID
1350,COVID
1351,COVID
1352,COVID
1353,COVID
1354,COVID
1355,COVID
1356,COVID
1357,COVID
1358,MIGRATIONS
1359,MIGRATIONS
1360,MIGRATIONS
1361,MIGRATIONS
1362,MIGRATIONS
1363,MIGRATIONS
1364,MIGRATIONS
1365,MIGRATIONS
1366,MIGRATIONS
1367,MIGRATIONS
1368,MIGRATIONS
1369,COVID
1370,COVID
1371,COVID
1372,MIGRATIONS
1373,MIGRATIONS
1374,MIGRATIONS
1375,MIGRATIONS
1376,MIGRATIONS
1377,MIGRATIONS
1378,MIGRATIONS
1379,MIGRATIONS
1380,MIGRATIONS
1381,MIGRATIONS
1382,MIGRATIONS
1383,MIGRATIONS
1384,MIGRATIONS
1385,MIGRATIONS
1386,MIGRATIONS
1387,COVID
1388,COVID
1389,COVID
1390,COVID
1391,MIGRATIONS
1392,MIGRATIONS
1393,MIGRATIONS
1394,MIGRATIONS
1395,MIGRATIONS
1396,MIGRATIONS
1397,MIGRATIONS
1398,MIGRATIONS
1399,MIGRATIONS
1400,COVID
1401,MIGRATIONS
1402,COVID
1403,COVID
1404,COVID
1405,MIGRATIONS
1406,COVID
1407,COVID
1408,COVID
1409,MIGRATIONS
1410,MIGRATIONS
1411,MIGRATIONS
1412,MIGRATIONS
1413,MIGRATIONS
1414,MIGRATIONS
1415,MIGRATIONS
1416,COVID
1417,COVID
1418,COVID
1419,COVID
1420,COVID
1421,COVID
1422,COVID
1423,COVID
1424,COVID
1425,COVID
1426,COVID
1427,COVID
1428,COVID
1429,COVID
1430,COVID
1431,MIGRATIONS
1432,COVID
1433,COVID
1434,COVID
1435,COVID
1436,MIGRATIONS
1437,MIGRATIONS
1438,MIGRATIONS
1439,MIGRATIONS
1440,MIGRATIONS
1441,COVID
1442,NEWS_OR_OTHER
1443,COVID
1444,MIGRATIONS
1445,COVID
1446,MIGRATIONS
1447,THE_WAR_IN_UKRAINE
1448,MIGRATIONS
1449,MIGRATIONS
1450,COVID
1451,COVID
1452,COVID
1453,MIGRATIONS
1454,COVID
1455,COVID
1456,COVID
1457,COVID
1458,MIGRATIONS
1459,COVID
1460,MIGRATIONS
1461,COVID
1462,COVID
1463,COVID
1464,COVID
1465,COVID
1466,COVID
1467,COVID
1468,COVID
1469,COVID
1470,COVID
1471,COVID
1472,COVID
1473,COVID
1474,COVID
1475,COVID
1476,COVID
1477,COVID
1478,COVID
1479,COVID
1480,COVID
1481,COVID
1482,MIGRATIONS
1483,COVID
1484,COVID
1485,COVID
1486,COVID
1487,COVID
1488,COVID
1489,MIGRATIONS
1490,COVID
1491,COVID
1492,COVID
1493,COVID
1494,COVID
1495,MIGRATIONS
1496,THE_WAR_IN_UKRAINE
1497,THE_WAR_IN_UKRAINE
1498,MIGRATIONS
1499,MIGRATIONS
1500,MIGRATIONS
1501,MIGRATIONS
1502,MIGRATIONS
1503,MIGRATIONS
1504,MIGRATIONS
1505,MIGRATIONS
1506,MIGRATIONS
1507,MIGRATIONS
1508,MIGRATIONS
1509,MIGRATIONS
1510,COVID
1511,COVID
1512,COVID
1513,THE_WAR_IN_UKRAINE
1514,COVID
1515,MIGRATIONS
1516,MIGRATIONS
1517,MIGRATIONS
1518,MIGRATIONS
1519,MIGRATIONS
1520,MIGRATIONS
1521,COVID
1522,NEWS_OR_OTHER
1523,COVID
1524,FIVE_G
1525,COVID
1526,CLIMATE_CRISIS
1527,FIVE_G
1528,COVID
1529,COVID
1530,COVID
1531,COVID
1532,COVID
1533,COVID
1534,NEWS_OR_OTHER
1535,NEWS_OR_OTHER
1536,COVID
1537,THE_WAR_IN_UKRAINE
1538,COVID
1539,FIVE_G
1540,WOMENS_RIGHTS
1541,COVID
1542,COVID
1543,COVID
1544,COVID
1545,COVID
1546,COVID
1547,COVID
1548,COVID
1549,COVID
1550,COVID
1551,COVID
1552,COVID
1553,WOMENS_RIGHTS
1554,COVID
1555,COVID
1556,COVID
1557,COVID
1558,COVID
1559,COVID
1560,COVID
1561,COVID
1562,COVID
1563,PSEUDOMEDICINE
1564,THE_WAR_IN_UKRAINE
1565,CLIMATE_CRISIS
1566,CLIMATE_CRISIS
1567,CLIMATE_CRISIS
1568,FIVE_G
1569,COVID
1570,COVID
1571,COVID
1572,COVID
1573,COVID
1574,COVID
1575,CLIMATE_CRISIS
1576,CLIMATE_CRISIS
1577,CLIMATE_CRISIS
1578,CLIMATE_CRISIS
1579,CLIMATE_CRISIS
1580,CLIMATE_CRISIS
1581,CLIMATE_CRISIS
1582,CLIMATE_CRISIS
1583,CLIMATE_CRISIS
1584,CLIMATE_CRISIS
1585,CLIMATE_CRISIS
1586,CLIMATE_CRISIS
1587,CLIMATE_CRISIS
1588,CLIMATE_CRISIS
1589,CLIMATE_CRISIS
1590,CLIMATE_CRISIS
1591,CLIMATE_CRISIS
1592,CLIMATE_CRISIS
1593,CLIMATE_CRISIS
1594,CLIMATE_CRISIS
1595,CLIMATE_CRISIS
1596,CLIMATE_CRISIS
1597,CLIMATE_CRISIS
1598,CLIMATE_CRISIS
1599,CLIMATE_CRISIS
1600,CLIMATE_CRISIS
1601,CLIMATE_CRISIS
1602,THE_WAR_IN_UKRAINE
1603,THE_WAR_IN_UKRAINE
1604,CLIMATE_CRISIS
1605,ASTRONOMY_AND_AERONAUTICS
1606,CLIMATE_CRISIS
1607,FIVE_G
1608,THE_WAR_IN_UKRAINE
1609,THE_WAR_IN_UKRAINE
1610,THE_WAR_IN_UKRAINE
1611,THE_WAR_IN_UKRAINE
1612,THE_WAR_IN_UKRAINE
1613,THE_WAR_IN_UKRAINE
1614,THE_WAR_IN_UKRAINE
1615,THE_WAR_IN_UKRAINE
1616,THE_WAR_IN_UKRAINE
1617,MIGRATIONS
1618,THE_WAR_IN_UKRAINE
1619,ASTRONOMY_AND_AERONAUTICS
1620,THE_WAR_IN_UKRAINE
1621,THE_WAR_IN_UKRAINE
1622,THE_WAR_IN_UKRAINE
1623,THE_WAR_IN_UKRAINE
1624,MIGRATIONS
1625,THE_WAR_IN_UKRAINE
1626,THE_WAR_IN_UKRAINE
1627,THE_WAR_IN_UKRAINE
1628,MIGRATIONS
1629,MIGRATIONS
1630,THE_WAR_IN_UKRAINE
1631,MIGRATIONS
1632,COVID
1633,THE_WAR_IN_UKRAINE
1634,THE_WAR_IN_UKRAINE
1635,THE_WAR_IN_UKRAINE
1636,COVID
